name,date,total_distance_used_sum,total_fuel_used_sum,consumption,performance
997,2024-07-02,2418.375932,146.61546,8.65309582797558,0.060625586808064555
1046,2024-07-02,1901.39526,130.500968,14.569970546118862,0.06863431856877565
463,2024-07-03,1181.847642,78.723256,8.65309582797558,0.06661032539421018
488,2024-07-08,1204.216998,70.798096,8.65309582797558,0.058791809215102936
807,2024-07-10,948.212146,56.796980000000005,8.65309582797558,0.059899021795487534
816,2024-07-10,1065.029894,66.30717200000001,8.65309582797558,0.0622585078348984
862,2024-07-10,287.073402,21.397932,13.415941409665194,0.07453819075861302
730,2024-07-11,905.958918,58.91035600000001,8.65309582797558,0.0650254165277724
909,2024-07-11,1328.491198,77.40239600000001,8.65309582797558,0.058263386401450595
517,2024-07-12,989.222632,68.68472,14.402368270555664,0.06943302526463022
573,2024-07-13,1173.148448,75.55319200000001,8.65309582797558,0.06440207301028626
